""," ","Population count","Restaurants count","Business count","Bus stops count","Total roads length"
"1","Population count",1,0.35504192813318,0.42911904633504,0.641119926440919,0.463620724288048
"2","Restaurants count",0.35504192813318,1,0.870419626430127,0.510212536600814,0.311703198640104
"3","Business count",0.42911904633504,0.870419626430127,1,0.600796132022943,0.401045601590215
"4","Bus stops count",0.641119926440919,0.510212536600814,0.600796132022943,1,0.722124510180643
"5","Total roads length",0.463620724288048,0.311703198640104,0.401045601590215,0.722124510180643,1
