"","min","Q1","median","mean","Q3","max","Variable"
"1",0,142.75,738,2976.70297029703,4295,21531,"Population count"
"2",0,0,0,2.80816831683168,1,228,"Restaurants count"
"3",0,0,7,47.8898514851485,39.25,2093,"Business count"
"4",0,0,3,5.66212871287129,8,54,"Bus stops count"
"5",0,711.471386167821,3594.25339583475,4887.42003259555,8151.69257152428,20111.1985345788,"Total roads length"
