"","name","price","rating","votes_cnt","subzone","lat","lng","kuchnia1","n","lng_utm","lat_utm"
"46","Restauracja chiñczyk na bartyckiej, Mokotów",40,3.2,6,"Mokotów",52.211978,21.058766,"Azjatycka",1,504015.234399274,5784617.06287178
"47","Restauracja adel kebab, Mokotów",50,2.9,9,"Mokotów",52.19086,21.00125,"Kebab",1,500085.447755046,5782266.5515232
"48","Restauracja sultan kebab, Mokotów",50,3.3,10,"Mokotów",52.201962,21.047424,"Kebab",3,503241.011813373,5783502.44807076
"49","Restauracja sorelle bistro i cafe, Mokotów",100,3.4,6,"Mokotów",52.209119,21.064161,"Polska",2,504384.133508349,5784299.37788362
"50","Restauracja telepizza, Mokotów",60,2.9,7,"Mokotów",52.192714,21.011003,"Pizza",1,500752.114030416,5782472.82174906
"51","Restauracja sergio pizza, Mokotów",50,3.3,10,"Mokotów",52.231924,21.006727,"Pizza",2,500459.421849992,5786833.99178822
"52","Restauracja magiel bistro, Mokotów",110,3.3,8,"Mokotów",52.202613,21.038362,"Œródziemnomorska",3,502621.665816075,5783574.49029039
"53","Restauracja pizzeria gaga, Mokotów",90,3,4,"Mokotów",52.231924,21.006727,"W³oska",2,500459.421849992,5786833.99178822
"54","Restauracja cukiernia cieœlikowski, Mokotów",40,3,6,"Mokotów",52.20263,21.035008,"Desery",1,502392.451961631,5783576.2651775
"55","Restauracja garam masala, Mokotów",100,NA,0,"Mokotów",52.193221,21.011678,"Indyjska",1,500798.244817541,5782529.22080381
"56","Restauracja dobra szama, Mokotów",50,NA,0,"Mokotów",52.20994,21.02053,"Œródziemnomorska",2,501402.79306851,5784388.95386409
"57","Restauracja kij i marchewka, Mokotów",40,3.3,4,"Mokotów",52.18996,21.02436,"Kawiarnia",1,501665.239462864,5782166.72664858
"58","Restauracja pizzaiolo cesare, Mokotów",80,NA,0,"Mokotów",52.193515,21.013717,"Pizza",2,500937.613625824,5782561.9458028
"59","Restauracja cafe pi?terko, Mokotów",60,2.9,4,"Mokotów",52.195755,21.012732,"Kawiarnia",2,500870.241063026,5782811.08097261
"60","Restauracja bolzano pizza, Mokotów",74,2.9,6,"Mokotów",52.189492,21.000005,"Pizza",3,500000.341801511,5782114.39299583
"61","Restauracja gazeta cafe, Mokotów",40,3.2,5,"Mokotów",52.203484,21.046832,"Kawiarnia",1,503200.444502641,5783671.70878824
"62","Restauracja fort wino, Mokotów",80,3.3,7,"Mokotów",52.196141,20.995362,"Miêdzynarodowa",1,499682.992216775,5782853.94816824
"63","Restauracja tuk tuk, Mokotów",40,3.3,4,"Mokotów",52.20994,21.02053,"Tajska",2,501402.79306851,5784388.95386409
"64","Restauracja cukiernia truskawka, Mokotów",20,NA,0,"Mokotów",52.202392,21.043709,"Desery",1,502987.095536031,5783550.11599414
"65","Restauracja bon appetit, Mokotów",60,3.2,5,"Mokotów",52.190887,20.990969,"Polska",2,499382.657433944,5782269.59234009
"66","Restauracja zaœcianek, Mokotów",40,3.1,5,"Mokotów",52.193016,21.012384,"Polska",1,500846.507046582,5782506.4273753
"67","Restauracja dominos pizza, Mokotów",70,3.1,5,"Mokotów",52.195151,21.000945,"Pizza",1,500064.592283435,5782743.82415793
"68","Restauracja nice cream, Mokotów",30,3.2,4,"Mokotów",52.231924,21.006727,"Lodziarnia",1,500459.421849992,5786833.99178822
"69","Restauracja jedzonko, Mokotów",35,2.9,4,"Mokotów",52.193089,21.013238,"Polska",1,500904.880646333,5782514.55722286
"70","Restauracja don vito pizzeria, Mokotów",90,3.1,5,"Mokotów",52.209077,21.047454,"Pizza",1,503242.544108833,5784293.82764478
"71","Restauracja beefnroll, Mokotów",60,3.2,4,"Mokotów",52.20994,21.02053,"Burgery",2,501402.79306851,5784388.95386409
"72","Restauracja nice eat you, Mokotów",40,NA,0,"Mokotów",52.20994,21.02053,"Fast Food",1,501402.79306851,5784388.95386409
"73","Restauracja ale heca cafe, Mokotów",40,NA,0,"Mokotów",52.231924,21.006727,"Kawiarnia",1,500459.421849992,5786833.99178822
"74","Restauracja owoc ma moc, Mokotów",25,NA,0,"Mokotów",52.206498,21.031917,"Kawiarnia",2,502181.023184456,5784006.39266045
"75","Restauracja am pizza, Mokotów",70,NA,0,"Mokotów",52.19779,21.04724,"Pizza",2,503228.739347797,5783038.40236228
"76","Restauracja fort szel¹g, Mokotów",100,NA,0,"Mokotów",52.192801,20.99972,"Europejska",1,499980.860536423,5782482.44143454
"77","Restauracja coco lan, Mokotów",35,NA,0,"Mokotów",52.231924,21.006727,"Chiñska",3,500459.421849992,5786833.99178822
"78","Restauracja coco cafe, Mokotów",30,NA,0,"Mokotów",52.202702,21.037661,"Kawiarnia",1,502573.754213135,5783584.36435155
"79","Restauracja cafe œcianka, Mokotów",60,NA,0,"Mokotów",52.196557,21.02624,"Kawiarnia",1,501793.489975838,5782900.53277539
"80","Restauracja falafel full, Mokotów",NA,NA,0,"Mokotów",52.204037,21.010148,"Fast Food",1,500693.493946762,5783732.23213602
"81","Restauracja arte vino, Mokotów",100,NA,0,"Mokotów",52.205692,21.031441,"Œródziemnomorska",2,502148.534972895,5783916.72968582
"82","Restauracja galeria wypieków, Mokotów",30,NA,0,"Mokotów",52.193089,21.013238,"Piekarnia",2,500904.880646333,5782514.55722286
"83","Restauracja wybryk kulinarny, Mokotów",60,NA,0,"Mokotów",52.211978,21.058766,"Polska",1,504015.234399274,5784617.06287178
"84","Restauracja stop klatka, Mokotów",45,NA,0,"Mokotów",52.202346,21.046121,"Przek¹ski",1,503151.936102123,5783545.10167284
"85","Restauracja adel kebab, Mokotów",40,NA,0,"Mokotów",52.202024,21.035886,"Kebab",1,502452.487969942,5783508.89114211
"86","Restauracja wagon pub, Mokotów",50,NA,0,"Mokotów",52.197553,21.039839,"Przek¹ski",1,502722.913464632,5783011.73794005
"87","Restauracja restauracja hotel ³azienkowski, Mokotów",150,NA,0,"Mokotów",52.21499,21.04197,"Miêdzynarodowa",1,502867.440256464,5784951.28099398
"88","Restauracja kolarski cafe, Mokotów",40,NA,0,"Mokotów",52.198173,21.039309,"Kawiarnia",1,502686.651676807,5783080.67865965
"89","Restauracja bar kawowy, Mokotów",60,NA,0,"Mokotów",52.192605,20.997722,"Kawiarnia",2,499844.286107963,5782460.64344861
"90","Restauracja mili, Mokotów",40,NA,0,"Mokotów",52.19602,21.01355,"Wietnamska",2,500926.146424644,5782840.56614364
"91","Restauracja bar u kucharza, Mokotów",40,NA,0,"Mokotów",52.19602,21.01355,"Polska",1,500926.146424644,5782840.56614364
"92","Restauracja dziurka od klucza, Powiœle",115,4.5,334,"Powiœle",52.24077,21.02387,"W³oska",1,501629.882502127,5787818.15585161
"93","Restauracja na lato, Powiœle",120,3.9,170,"Powiœle",52.22778,21.03327,"W³oska",2,502272.393036716,5786373.56642618
"94","Restauracja warszawa powiœle, Powiœle",40,4.1,115,"Powiœle",52.234078,21.029895,"Przek¹ski",3,502041.586339366,5787073.97504506
"95","Restauracja mr pancake, Powiœle",50,4,219,"Powiœle",52.23639,21.02993,"Amerykañska",2,502043.870361134,5787331.13356258
"96","Restauracja sam, Powiœle",110,4.1,156,"Powiœle",52.24128,21.02302,"Zdrowe jedzenie",1,501571.825099155,5787874.86305838
"97","Restauracja veg deli, Powiœle",90,4.1,162,"Powiœle",52.24072,21.02306,"Zdrowe jedzenie",1,501574.576152367,5787812.57657337
"98","Restauracja cool cat, Powiœle",80,4.3,146,"Powiœle",52.23526,21.03294,"Miêdzynarodowa",1,502249.475417198,5787205.53584704
"99","Restauracja kafka, Powiœle",55,4,230,"Powiœle",52.23955,21.02276,"Kawiarnia",2,501554.132509812,5787682.43403941
"100","Restauracja stor, Powiœle",50,4.2,87,"Powiœle",52.23687,21.02477,"Kawiarnia",1,501691.484226628,5787384.38971158
"101","Restauracja ave pizza, Powiœle",110,4,113,"Powiœle",52.2388,21.02518,"W³oska",2,501719.407565934,5787599.0681571
"102","Restauracja nadwiœlañski œwit, Powiœle",110,3.8,61,"Powiœle",52.23781,21.03252,"Europejska",1,502220.666317744,5787489.15258565
"103","Restauracja jackpot, Powiœle",60,4.1,35,"Powiœle",52.22778,21.03327,"Drinki",2,502272.393036716,5786373.56642618
"104","Restauracja dekant winebar restaurant, Powiœle",130,4.1,35,"Powiœle",52.23808,21.02483,"Steak",3,501695.5353747,5787518.97620646
"105","Restauracja kafe zielony niedŸwiedŸ, Powiœle",180,3.9,62,"Powiœle",52.23397,21.02719,"Polska",2,501856.86126094,5787061.88975088
"106","Restauracja przek¹ski u romana, Powiœle",40,4.1,66,"Powiœle",52.23307,21.03795,"Polska",1,502591.736277363,5786962.11541646
"107","Restauracja rozbrat 20, Powiœle",100,4.3,42,"Powiœle",52.22429,21.03504,"Francuska",1,502393.474449057,5785985.44070767
"108","Restauracja viaduct, Powiœle",70,3.9,59,"Powiœle",52.23403,21.03118,"Pizza",2,502129.343725051,5787068.67310941
"109","Restauracja dyletanci, Powiœle",170,4.1,35,"Powiœle",52.22778,21.03327,"Polska",1,502272.393036716,5786373.56642618
"110","Restauracja mango vegan street food, Powiœle",50,3.7,51,"Powiœle",52.24169,21.02467,"Zdrowe jedzenie",1,501684.472971306,5787920.50337197
"111","Restauracja niena¿arty, Powiœle",80,3.6,25,"Powiœle",52.23598,21.03051,"Miêdzynarodowa",2,502083.496801382,5787285.54687464
"112","Restauracja rewers, Powiœle",45,2.6,44,"Powiœle",52.2426,21.02404,"Polska",1,501641.422859075,5788021.70588435
"113","Restauracja bez gwiazdek, Powiœle",100,3.7,17,"Powiœle",52.2419,21.02182,"Polska",1,501489.867320598,5787943.79871553
"114","Restauracja boscaiola pizzavino, Powiœle",110,3.7,48,"Powiœle",52.24222,21.02533,"Pizza",2,501729.517309922,5787979.46945795
"115","Restauracja pierogi na bednarskiej, Powiœle",50,2.9,44,"Powiœle",52.24496,21.01589,"Polska",1,501084.892915072,5788284.04941097
"116","Restauracja crepe cafe, Powiœle",45,3.7,39,"Powiœle",52.23801,21.02829,"Kawiarnia",3,501931.807132562,5787511.2768773
"117","Restauracja rabarbar, Powiœle",40,3.7,15,"Powiœle",52.24083,21.02338,"Azjatycka",2,501596.422351052,5787824.81858948
"118","Restauracja rue de paris, Powiœle",40,2.5,37,"Powiœle",52.23809,21.02876,"Kawiarnia",2,501963.897957592,5787520.18769792
"119","Restauracja mei, Powiœle",90,3.8,31,"Powiœle",52.23413,21.0345,"Koreañska",2,502356.06777521,5787079.89856845
"120","Restauracja ³owcy syren, Powiœle",60,4.2,32,"Powiœle",52.231924,21.006727,"Zdrowe jedzenie",2,500459.421849992,5786833.99178822
"121","Restauracja stara szafa, Powiœle",140,3.6,39,"Powiœle",52.23067,21.03368,"Polska",1,502300.247314421,5786695.02594061
"122","Restauracja cho cho san, Powiœle",100,3.8,27,"Powiœle",52.2388,21.02518,"Sushi",2,501719.407565934,5787599.0681571
"123","Restauracja pizza boyz, Powiœle",40,3.4,28,"Powiœle",52.23628,21.02958,"Pizza",1,502019.974432138,5787318.88874417
"124","Restauracja makkaron, Powiœle",50,3.8,32,"Powiœle",52.23531,21.02948,"W³oska",1,502013.189464707,5787210.99546474
"125","Restauracja parowóz, Powiœle",40,3.8,18,"Powiœle",52.23684,21.02855,"Chiñska",2,501949.612721284,5787381.14784262
"126","Restauracja syrenka, Powiœle",60,3.3,26,"Powiœle",52.23787,21.02779,"Burgery",3,501897.670171442,5787495.69183757
"127","Restauracja grande pierogi, Powiœle",50,2.4,29,"Powiœle",52.23413,21.0345,"Polska",1,502356.06777521,5787079.89856845
"128","Restauracja przystanek powiœle, Powiœle",50,3.4,12,"Powiœle",52.24083,21.02265,"Kawiarnia",2,501546.5768292,5787824.80276
"129","Restauracja heritage shop wine, Powiœle",80,3.6,20,"Powiœle",52.23748,21.02746,"W³oska",1,501875.152201062,5787452.30458066
"130","Restauracja kawiarnia fabryczna, Powiœle",40,3.8,19,"Powiœle",52.22429,21.03588,"Kawiarnia",1,502450.852259349,5785985.46877591
"131","Restauracja palce lizaæ, Powiœle",50,3.4,16,"Powiœle",52.22386,21.0352,"Kawiarnia",1,502404.426780639,5785937.61835281
"132","Restauracja fenomenalna, Powiœle",60,2.6,25,"Powiœle",52.2426,21.02404,"Kawiarnia",2,501641.422859075,5788021.70588435
"133","Restauracja kuchnia warszawska, Powiœle",95,3.3,13,"Powiœle",52.23781,21.03252,"Polska",1,502220.666317744,5787489.15258565
"134","Restauracja g³?bokie gard³o, Powiœle",50,2.7,25,"Powiœle",52.24496,21.01589,"Przek¹ski",1,501084.892915072,5788284.04941097
"135","Restauracja el botellón cantina y cóctel bar, Powiœle",100,3.5,10,"Powiœle",52.23237,21.03722,"Polska",1,502541.9220458,5786884.23048481
"136","Restauracja qchnia, Powiœle",50,3.5,14,"Powiœle",52.13195,20.92782,"Chiñska",1,495059.386251529,5775716.68917122
"137","Restauracja charlie cafe, Powiœle",50,3.3,12,"Powiœle",52.234087,21.034238,"Kawiarnia",1,502338.177578337,5787075.10731075
"138","Restauracja bliss, Powiœle",118,3.4,22,"Powiœle",52.24642,21.01613,"Chiñska",1,501101.242816997,5788446.44519082
"139","Restauracja pomost 511, Powiœle",32,3.5,13,"Powiœle",52.231924,21.006727,"Drinki",1,500459.421849992,5786833.99178822
"140","Restauracja fabryka lodów tradycyjnych, Powiœle",20,3,15,"Powiœle",52.23698,21.02522,"Desery",2,501722.209395432,5787396.63531662
"141","Restauracja pod bary³k¹, Powiœle",90,3.2,15,"Powiœle",52.24646,21.01767,"Przek¹ski",1,501206.382087093,5788450.91881153
"142","Restauracja before, Powiœle",50,3.5,14,"Powiœle",52.24483,21.01498,"Polska",2,501022.765473141,5788269.57660385
"143","Restauracja sen nocy letniej, Powiœle",60,3.1,8,"Powiœle",52.231924,21.006727,"Grill",2,500459.421849992,5786833.99178822
"144","Restauracja bong sen, Powiœle",50,3,13,"Powiœle",52.23237,21.03722,"Wietnamska",1,502541.9220458,5786884.23048481
"145","Restauracja da grasso, Powiœle",80,2.9,9,"Powiœle",52.23413,21.0345,"Pizza",1,502356.06777521,5787079.89856845
"146","Restauracja da gusto, Powiœle",124,3.3,17,"Powiœle",52.223,21.03758,"W³oska",2,502567.048402933,5785842.04467681
"147","Restauracja cafe 7, Powiœle",50,3.4,6,"Powiœle",52.23672,21.0302,"Polska",2,502062.292921066,5787367.84623023
"148","Restauracja wrapeat, Powiœle",35,3.4,10,"Powiœle",52.241339,21.023357,"Zdrowe jedzenie",1,501594.833629282,5787881.43283895
"149","Restauracja batida, Powiœle",45,2.9,9,"Powiœle",52.24191,21.02713,"Kawiarnia",2,501852.433143416,5787945.03343623
"150","Restauracja qki, Powiœle",50,3.4,9,"Powiœle",52.23904,21.02423,"Desery",3,501654.528221716,5787625.7406145
"151","Restauracja heritage birreria artigianale, Powiœle",50,3.4,10,"Powiœle",52.23801,21.02806,"Drinki",2,501916.101383831,5787511.2707716
"152","Restauracja dwa wo³y, Powiœle",70,3.5,11,"Powiœle",52.22273,21.03571,"Amerykañska",2,502439.325561179,5785811.94879385
"153","Restauracja poniatowski bistro, Powiœle",45,2.9,8,"Powiœle",52.23413,21.0345,"Polska",2,502356.06777521,5787079.89856845
"154","Restauracja wiem bistro, Powiœle",45,2.8,8,"Powiœle",52.24189,21.02807,"Polska",3,501916.617090953,5787942.8333312
"155","Restauracja gor¹co polecam nowakowski, Powiœle",20,3.3,10,"Powiœle",52.2426,21.02404,"Piekarnia",2,501641.422859075,5788021.70588435
"156","Restauracja mins onigiri, Powiœle",30,3.3,7,"Powiœle",52.24169,21.02467,"Azjatycka",1,501684.472971306,5787920.50337197
"157","Restauracja coffee mariensztat, Powiœle",40,3.1,4,"Powiœle",52.24626,21.01768,"Kawiarnia",1,501207.07024339,5788428.67347422
"158","Restauracja connect, Powiœle",40,NA,0,"Powiœle",52.2388,21.02518,"Polska",2,501719.407565934,5787599.0681571
"159","Restauracja costa coffee, Powiœle",40,3.1,4,"Powiœle",52.2426,21.02404,"Kawiarnia",1,501641.422859075,5788021.70588435
"160","Restauracja syreni œpiew, Powiœle",60,3.1,9,"Powiœle",52.22799,21.03416,"Drinki",1,502333.170419146,5786396.95240553
